InChIKey,BRYU005:Precursor m/z
AEMOLEFTQBMNLQ-AQKNRBDQSA-N,193.03535
AKEUNCKRJATALU-UHFFFAOYSA-N,153.01932
ALRHLSYJTWAHJZ-UHFFFAOYSA-N,89.02445999999999
AQTYXAPIHMXAAV-UHFFFAOYSA-N,203.00201
AYFVYJQAPQTCCC-UHFFFAOYSA-N,118.05101
BTJIUGUIPKRLHP-UHFFFAOYSA-N,
BXFFHSIDQOFMLE-UHFFFAOYSA-N,212.00227
BYXCFUMGEBZDDI-UHFFFAOYSA-N,
CBQJSKKFNMDLON-UHFFFAOYSA-N,
CCVYRRGZDBSHFU-UHFFFAOYSA-N,
CGFRVKXGZRODPA-UHFFFAOYSA-N,
COLNVLDHVKWLRT-UHFFFAOYSA-N,
CZMRCDWAGMRECN-UGDNZRGBSA-N,341.10876
CZWCKYRVOZZJNM-USOAJAOKSA-N,367.1585
DCICDMMXFIELDF-UHFFFAOYSA-N,
DCXYFEDJOCDNAF-REOHCLBHSA-N,131.0462
DDRJAANPRJIHGJ-UHFFFAOYSA-N,112.05157
DRTQHJPVMGBUCF-XVFCMESISA-N,243.06222999999997
DTERQYGMUDWYAZ-ZETCQYMHSA-N,
DUUGKQCEGZLZNO-UHFFFAOYSA-N,
FDGQSTZJBFJUBT-UHFFFAOYSA-N,135.03125
FJKROLUGYXJWQN-UHFFFAOYSA-N,137.0244
GHOKWGTUZJEAQD-UHFFFAOYSA-N,218.10342000000003
HCZHHEIFKROPDY-UHFFFAOYSA-N,188.03531
HEBKCHPVOIAQTA-QWWZWVQMSA-N,151.06113
HNDVDQJCIGZPNO-YFKPBYRVSA-N,154.06215
HNEGQIOMVPPMNR-IHWYPQMZSA-N,129.01936
IGMNYECMUMZDDF-UHFFFAOYSA-N,167.03493999999998
ILGMGHZPXRDCCS-UHFFFAOYSA-N,
JDHILDINMRGULE-UHFFFAOYSA-N,168.07779
JFCQEDHGNNZCLN-UHFFFAOYSA-N,131.03493999999998
JFLIEFSWGNOPJJ-JTQLQIEISA-N,263.1037
JVGVDSSUAVXRDY-UHFFFAOYSA-N,
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,89.02445
KBOJOGQFRVVWBH-ZETCQYMHSA-N,196.07277
KDYFGRWQOYBRFD-UHFFFAOYSA-N,117.01932
KSPQDMRTZZYQLM-UHFFFAOYSA-N,
KTHDTJVBEPMMGL-UHFFFAOYSA-N,
LOIYMIARKYCTBW-OWOJBTEDSA-N,137.03561000000002
LXVSANCQXSSLPA-UHFFFAOYSA-N,
MTCFGRXMJLQNBG-UHFFFAOYSA-N,104.03535500000001
MYYIAHXIVFADCU-QMMMGPOBSA-N,239.11496
NBIIXXVUZAFLBC-UHFFFAOYSA-N,96.960045
NIDVTARKFBZMOT-PEBGCTIMSA-N,
NOFNCLGCUJJPKU-UHFFFAOYSA-N,
NWGZOALPWZDXNG-UHFFFAOYSA-N,
ONPXCLZMBSJLSP-CSMHCCOUSA-N,
PMOWTIHVNWZYFI-AATRIKPKSA-N,163.04012
POJWUDADGALRAB-UHFFFAOYSA-N,157.03665
PTJWIQPHWPFNBW-GBNDHIKLSA-N,243.06222999999997
PXQPEWDEAKTCGB-UHFFFAOYSA-N,155.00986
PYUSHNKNPOHWEZ-YFKPBYRVSA-N,176.03856000000002
QFDRTQONISXGJA-UHFFFAOYSA-N,181.03673
QIVBCDIJIAJPQS-UHFFFAOYSA-N,203.08252
QVWAEZJXDYOKEH-UHFFFAOYSA-N,165.0557
RFCQJGFZUQFYRF-UHFFFAOYSA-N,
RSPURTUNRHNVGF-IOSLPCCCSA-N,310.11575
RWSXRVCMGQZWBV-UHFFFAOYSA-N,
SQVRNKJHWKZAKO-LUWBGTNYSA-N,
SXUXMRMBWZCMEN-ZOQUXTDFSA-N,
TYFQFVWCELRYAO-UHFFFAOYSA-N,
UTAIYTHAJQNQDW-KQYNXXCUSA-N,296.09997999999996
UZTFMUBKZQVKLK-UHFFFAOYSA-N,144.06659
VBUYCZFBVCCYFD-NUNKFHFFSA-N,
VVHOUVWJCQOYGG-UHFFFAOYSA-N,174.05196999999998
VZCYOOQTPOCHFL-UPHRSURJSA-N,115.00363
WGNAKZGUSRVWRH-UHFFFAOYSA-N,187.00696000000002
WHUUTDBJXJRKMK-UHFFFAOYSA-N,146.04591000000002
WLJVNTCWHIRURA-UHFFFAOYSA-N,159.06627
WNLRTRBMVRJNCN-UHFFFAOYSA-N,145.05064
WRUSVQOKJIDBLP-HWKANZROSA-N,156.0666
WXNXCEHXYPACJF-UHFFFAOYSA-N,
WXTMDXOMEHJXQO-UHFFFAOYSA-N,153.0193
XGILAAMKEQUXLS-UHFFFAOYSA-N,
XLBVNMSMFQMKEY-BYPYZUCNSA-N,160.06151
XOAAWQZATWQOTB-UHFFFAOYSA-N,124.00731
XUYPXLNMDZIRQH-UHFFFAOYSA-N,
YGSDEFSMJLZEOE-UHFFFAOYSA-N,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,145.06183000000001
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,179.05743
ZMHLUFWWWPBTIU-UHFFFAOYSA-N,194.0458
